Team,Number,Name,,Role
SYDNEY SIXERS,1,BABAR AZAM,OVS,BATTER
SYDNEY SIXERS,2,STEVE SMITH,,BATTER
SYDNEY SIXERS,3,JOSH PHILIPPE,,WICKET KEEPER
SYDNEY SIXERS,4,MOISES HENRIQUES (c),,ALL ROUNDER
SYDNEY SIXERS,5,JORDAN SILK,,BATTER
SYDNEY SIXERS,6,JACK EDWARDS,,ALL ROUNDER
SYDNEY SIXERS,7,SAM CURRAN,OVS,ALL ROUNDER
SYDNEY SIXERS,8,HAYDEN KERR,,ALL ROUNDER
SYDNEY SIXERS,9,SEAN ABBOTT,,BOWLER
SYDNEY SIXERS,10,KANE RICHARDSON,,BOWLER
SYDNEY SIXERS,11,TODD MURPHY,,BOWLER
MELBOURNE STARS,1,JOE CLARKE,OVS,WICKET KEEPER
MELBOURNE STARS,2,SAM HARPER,,BATTER
MELBOURNE STARS,3,TOM ROGERS,,BATTER
MELBOURNE STARS,4,MARCUS STOINIS (c),,ALL ROUNDER
MELBOURNE STARS,5,HILTON CARTWRIGHT,,BATTER
MELBOURNE STARS,6,GLENN MAXWELL,,ALL ROUNDER
MELBOURNE STARS,7,TOM CURRAN,OVS,ALL ROUNDER
MELBOURNE STARS,8,HARIS RAUF,OVS,BOWLER
MELBOURNE STARS,9,MITCH SWEPSON,,BOWLER
MELBOURNE STARS,10,SCOTT BOLAND,,BOWLER
MELBOURNE STARS,11,PETER SIDDLE,,BOWLER
BRISBANE HEAT,1,COLIN MUNRO,OVS,BATTER
BRISBANE HEAT,2,USMAN KHAWAJA (c),,BATTER
BRISBANE HEAT,3,MARNUS LABUSCHAGNE,,BATTER
BRISBANE HEAT,4,NATHAN McSWEENEY,,BATTER
BRISBANE HEAT,5,JIMMY PEIRSON,,WICKET KEEPER
BRISBANE HEAT,6,MICHAEL NESSER,,ALL ROUNDER
BRISBANE HEAT,7,JACK WILDERMUTH,,ALL ROUNDER
BRISBANE HEAT,8,SHAHEEN AFRIDI,OVS,BOWLER
BRISBANE HEAT,9,XAVIER BARTLETT,,BOWLER
BRISBANE HEAT,10,SPENCER JOHNSON,,BOWLER
BRISBANE HEAT,11,MATT KUHNEMANN,,BOWLER
PERTH SCORCHERS,1,MITCHELL MARSH,,BATTER
PERTH SCORCHERS,2,FINN ALLEN,OVS,BATTER
PERTH SCORCHERS,3,COOPER CONNOLLY,,ALL ROUNDER
PERTH SCORCHERS,4,AARON HARDIE,,ALL ROUNDER
PERTH SCORCHERS,5,JOSH INGLIS,,WICKET KEEPER
PERTH SCORCHERS,6,LAURIE EVANS,OVS,BATTER
PERTH SCORCHERS,7,ASHTON TURNER (c),,BATTER
PERTH SCORCHERS,8,ASHTON AGAR,,ALL ROUNDER
PERTH SCORCHERS,9,JHYE RICHARDSON,,BOWLER
PERTH SCORCHERS,10,JOEL PARIS,,BOWLER
PERTH SCORCHERS,11,MAHLI BEARDMAN,,BOWLER
HOBART HURRICANES,1,MITCHELL OWEN,,BATTER
HOBART HURRICANES,2,JAKE WEATHERALD,,BATTER
HOBART HURRICANES,3,BEN McDERMOTT,,BATTER
HOBART HURRICANES,4,TIM DAVID,,BATTER
HOBART HURRICANES,5,MATTHEW WADE,,WICKET KEEPER
HOBART HURRICANES,6,BEAU WEBSTER,,ALL ROUNDER
HOBART HURRICANES,7,REHAN AHMED,OVS,ALL ROUNDER
HOBART HURRICANES,8,CHRIS JORDAN,OVS,BOWLER
HOBART HURRICANES,9,NATHAN ELLIS (c),,BOWLER
HOBART HURRICANES,10,RILEY MEREDITH,,BOWLER
HOBART HURRICANES,11,BILLY STANLAKE,,BOWLER
SYDNEY THUNDER,1,DAVID WARNER (c),,BATTER
SYDNEY THUNDER,2,SAM KONSTAS,,BATTER
SYDNEY THUNDER,3,CAMERON BANCROFT,,BATTER
SYDNEY THUNDER,4,OLLIE DAVIES,,BATTER
SYDNEY THUNDER,5,SAM BILLINGS,OVS,WICKET KEEPER
SYDNEY THUNDER,6,CHRIS GREEN,,ALL ROUNDER
SYDNEY THUNDER,7,SHADAB KHAN,OVS,ALL ROUNDER
SYDNEY THUNDER,8,DANIEL SAMS,,ALL ROUNDER
SYDNEY THUNDER,9,NATHAN McANDREW,,BOWLER
SYDNEY THUNDER,10,WES AGAR,,BOWLER
SYDNEY THUNDER,11,LOCKIE FERGUSON,OVS,BOWLER
MELBOURNE RENEGADES,1,JAKE FRASER-McGURK,,BATTER
MELBOURNE RENEGADES,2,JOSH BROWN,,BATTER
MELBOURNE RENEGADES,3,MOHAMMED RIZWAN,OVS,WICKET KEEPER
MELBOURNE RENEGADES,4,CALEB JEWELL,,BATTER
MELBOURNE RENEGADES,5,TIM SEIFERT,,BATTER
MELBOURNE RENEGADES,6,WILL SUTHERLAND (c),OVS,ALL ROUNDER
MELBOURNE RENEGADES,7,HASSAN KHAN,OVS,ALL ROUNDER
MELBOURNE RENEGADES,8,TOM ROGERS,,BOWLER
MELBOURNE RENEGADES,9,JASON BEHRENDORFF,,BOWLER
MELBOURNE RENEGADES,10,BRENDAN DOGGETT,,BOWLER
MELBOURNE RENEGADES,11,ADAM ZAMPA,,BOWLER
ADELAIDE STRIKERS,1,TRAVIS HEAD,,BATTER
ADELAIDE STRIKERS,2,MATT SHORT (c),,ALL ROUNDER
ADELAIDE STRIKERS,3,CHRIS LYNN,,BATTER
ADELAIDE STRIKERS,4,ALEX ROSS,,BATTER
ADELAIDE STRIKERS,5,JASON SANGHA,,BATTER
ADELAIDE STRIKERS,6,ALEX CAREY,,WICKET KEEPER
ADELAIDE STRIKERS,7,JAMIE OVERTON,OVS,ALL ROUNDER
ADELAIDE STRIKERS,8,HASSAN ALI,OVS,BOWLER
ADELAIDE STRIKERS,9,HENRY THORNTON,,BOWLER
ADELAIDE STRIKERS,10,LUKE WOOD,OVS,BOWLER
ADELAIDE STRIKERS,11,LLOYD POPE,,BOWLER
