Team,Number,Name,Overseas,Role
DUBAI CAPITALS,1,LEUS du PLOOY,,BATTER
DUBAI CAPITALS,2,SHAYAN JAHANGIR,,WICKET KEEPER
DUBAI CAPITALS,3,JORDAN COX,,BATTER
DUBAI CAPITALS,4,SEDIQULLAH ATAL,,BATTER
DUBAI CAPITALS,5,ROVMAN POWELL,,BATTER
DUBAI CAPITALS,6,GULBADIN NAIB,,ALL ROUNDER
DUBAI CAPITALS,7,DASUN SHANAKA (c),,ALL ROUNDER
DUBAI CAPITALS,8,MOHAMMAD NABI,,ALL ROUNDER
DUBAI CAPITALS,9,DAVID WILLEY,,ALL ROUNDER
DUBAI CAPITALS,10,MUHAMMED JAWADULLAH,UAE,BOWLER
DUBAI CAPITALS,11,WAQAR SALAMKHEIL,,BOWLER
DUBAI CAPITALS,IMPACT,HAIDER ALI,UAE,BOWLER
DESERT VIPERS,1,FAKHAR ZAMAN,,BATTER
DESERT VIPERS,2,ANDRIES GOUS,,WICKET KEEPER
DESERT VIPERS,3,DAN LAWRENCE,,BATTER
DESERT VIPERS,4,SAM CURRAN,,ALL ROUNDER
DESERT VIPERS,5,MAX HOLDEN,,BATTER
DESERT VIPERS,6,HASAN NAWAZ,UAE,BATTER
DESERT VIPERS,7,SHIMRON HETMYER,,BATTER
DESERT VIPERS,8,KHUZAIMA TANVEER,UAE,ALL ROUNDER
DESERT VIPERS,9,LOCKIE FERGUSON (c),,BOWLER
DESERT VIPERS,10,NASEEM SHAH,,BOWLER
DESERT VIPERS,11,DAVID PAYNE,,BOWLER
DESERT VIPERS,IMPACT,NOOR AHMAD,,BOWLER
SHARJAH WARRIORZ,1,TOM KOHLER-CADMORE,,BATTER
SHARJAH WARRIORZ,2,JOHNSON CHARLES,,BATTER
SHARJAH WARRIORZ,3,TOM ABELL,,ALL ROUNDER
SHARJAH WARRIORZ,4,TIM DAVID,,BATTER
SHARJAH WARRIORZ,5,SIKANDAR RAZA,,ALL ROUNDER
SHARJAH WARRIORZ,6,DINESH KARTHIK,,WICKET KEEPER
SHARJAH WARRIORZ,7,ETHAN DSOUZA,UAE,BATTER
SHARJAH WARRIORZ,8,DWAINE PRETORIUS,,ALL ROUNDER
SHARJAH WARRIORZ,9,TIM SOUTHEE (c),,BOWLER
SHARJAH WARRIORZ,10,ADIL RASHID,,BOWLER
SHARJAH WARRIORZ,11,JUNAID SIDDIQUE,UAE,BOWLER
SHARJAH WARRIORZ,IMPACT,SAURABH NETRAVALKAR,,BOWLER
ABU DHABI KNIGHT RIDERS,1,ALEX HALES,,BATTER
ABU DHABI KNIGHT RIDERS,2,PHIL SALT,,WICKET KEEPER
ABU DHABI KNIGHT RIDERS,3,ALISHAN SHARAFU,UAE,BATTER
ABU DHABI KNIGHT RIDERS,4,LIAM LIVINGSTONE,,BATTER
ABU DHABI KNIGHT RIDERS,5,SHERFANE RUTHERFORD,,BATTER
ABU DHABI KNIGHT RIDERS,6,ANDRE RUSSELL,,ALL ROUNDER
ABU DHABI KNIGHT RIDERS,7,SUNIL NARINE,,ALL ROUNDER
ABU DHABI KNIGHT RIDERS,8,JASON HOLDER (c),,ALL ROUNDER
ABU DHABI KNIGHT RIDERS,9,GEORGE GARTON,,ALL ROUNDER
ABU DHABI KNIGHT RIDERS,10,PIYUSH CHAWLA,,BOWLER
ABU DHABI KNIGHT RIDERS,11,AJAY KUMAR,UAE,BOWLER
ABU DHABI KNIGHT RIDERS,IMPACT,OLLY STONE,,BOWLER
GULF GIANTS,1,JAMES VINCE (c),,BATTER
GULF GIANTS,2,RAHMANULLAH GURBAZ,,WICKET KEEPER
GULF GIANTS,3,GERHARD ERASMUS,,BATTER
GULF GIANTS,4,KYLE MAYERS,,ALL ROUNDER
GULF GIANTS,5,MOEEN ALI,,ALL ROUNDER
GULF GIANTS,6,ASIF KHAN,UAE,BATTER
GULF GIANTS,7,AZMATULLAH OMARZAI,,ALL ROUNDER
GULF GIANTS,8,LIAM DAWSON,,ALL ROUNDER
GULF GIANTS,9,AAYAN AFZAL KHAN,UAE,ALL ROUNDER
GULF GIANTS,10,MARK ADAIR,,BOWLER
GULF GIANTS,11,TABRAIZ SHAMSI,,BOWLER
GULF GIANTS,IMPACT,BLESSING MUZARABANI,,BOWLER
MI EMIRATES,1,MUHAMMAD WASEEM,UAE,BATTER
MI EMIRATES,2,JONNY BAIRSTOW,,BATTER
MI EMIRATES,3,ANDRE FLETCHER,,BATTER
MI EMIRATES,4,NICHOLAS POORAN,,WICKET KEEPER
MI EMIRATES,5,TOM BANTON,,BATTER
MI EMIRATES,6,KIERON POLLARD (c),,ALL ROUNDER
MI EMIRATES,7,SHAKIB AL HASAN,,ALL ROUNDER
MI EMIRATES,8,ROMARIO SHEPHERD,,ALL ROUNDER
MI EMIRATES,9,CHRIS WOAKES,,ALL ROUNDER
MI EMIRATES,10,ALLAH GHAZANFAR,,BOWLER
MI EMIRATES,11,ZAHOOR KHAN,UAE,BOWLER
MI EMIRATES,IMPACT,FAZALHAQ FAROOQI,,BOWLER
