Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,RUTURAJ GAIKWAD (c),,BATTER
CHENNAI SUPER KINGS,2,RACHIN RAVINDRA,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,3,AJINKYA RAHANE,,BATTER
CHENNAI SUPER KINGS,4,DARYL MITCHELL,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,5,SHIVAM DUBE,,ALL ROUNDER
CHENNAI SUPER KINGS,6,SAMEER RIZVI,,BATTER
CHENNAI SUPER KINGS,7,RAVINDRA JADEJA,,ALL ROUNDER
CHENNAI SUPER KINGS,8,MS DHONI,,WICKET KEEPER
CHENNAI SUPER KINGS,9,DEEPAK CHAHAR,,BOWLER
CHENNAI SUPER KINGS,10,MAHEESH THEEKSHANA,OVS,BOWLER
CHENNAI SUPER KINGS,11,TUSHAR DESHPANDE,,BOWLER
CHENNAI SUPER KINGS,IMPACT,MATHEESHA PATHIRANA,OVS,BOWLER
DELHI CAPITALS,1,DAVID WARNER,OVS,BATTER
DELHI CAPITALS,2,PRITHVI SHAW,,BATTER
DELHI CAPITALS,3,MITCHELL MARSH,OVS,ALL ROUNDER
DELHI CAPITALS,4,RISHABH PANT (c),,WICKET KEEPER
DELHI CAPITALS,5,TRISTAN STUBBS,OVS,BATTER
DELHI CAPITALS,6,AXAR PATEL,,ALL ROUNDER
DELHI CAPITALS,7,KUMAR KUSHAGRA,,BATTER
DELHI CAPITALS,8,LALIT YADAV,,ALL ROUNDER
DELHI CAPITALS,9,KULDEEP YADAV,,BOWLER
DELHI CAPITALS,10,ANRICH NORTJE,OVS,BOWLER
DELHI CAPITALS,11,KHALEEL AHMED,,BOWLER
DELHI CAPITALS,IMPACT,MUKESH KUMAR,,BOWLER
GUJARAT TITANS,1,SHUBMAN GILL (c),,BATTER
GUJARAT TITANS,2,WRIDDHIMAN SAHA,,WICKET KEEPER
GUJARAT TITANS,3,SAI SUDHARSAN,,BATTER
GUJARAT TITANS,4,VIJAY SHANKAR,,ALL ROUNDER
GUJARAT TITANS,5,AZMATULLAH OMARZAI,OVS,ALL ROUNDER
GUJARAT TITANS,6,ABHINAV MANOHAR,,BATTER
GUJARAT TITANS,7,RAHUL TEWATIA,,ALL ROUNDER
GUJARAT TITANS,8,RASHID KHAN,OVS,ALL ROUNDER
GUJARAT TITANS,9,MOHAMMED SHAMI,,BOWLER
GUJARAT TITANS,10,NOOR AHMAD,OVS,BOWLER
GUJARAT TITANS,11,SPENCER JOHNSON,OVS,BOWLER
GUJARAT TITANS,IMPACT,MOHIT SHARMA,,BOWLER
KOLKATA KNIGHT RIDERS,1,PHIL SALT,OVS,WICKET KEEPER
KOLKATA KNIGHT RIDERS,2,SUNIL NARINE,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,3,SHREYAS IYER (c),,BATTER
KOLKATA KNIGHT RIDERS,4,VENKATESH IYER,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,5,NITISH RANA,,BATTER
KOLKATA KNIGHT RIDERS,6,RINKU SINGH,,BATTER
KOLKATA KNIGHT RIDERS,7,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,8,RAMANDEEP SINGH,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,9,HARSHIT RANA,,BOWLER
KOLKATA KNIGHT RIDERS,10,MITCHELL STARC,OVS,BOWLER
KOLKATA KNIGHT RIDERS,11,VARUN CHAKRAVARTHY,,BOWLER
KOLKATA KNIGHT RIDERS,IMPACT,VAIBHAV ARORA,,BOWLER
LUCKNOW SUPER GIANTS,1,KL RAHUL (c),,BATTER
LUCKNOW SUPER GIANTS,2,QUINTON de KOCK ,OVS,WICKET KEEPER
LUCKNOW SUPER GIANTS,3,DEVDUTT PADIKKAL,,BATTER
LUCKNOW SUPER GIANTS,4,NICHOLAS POORAN,OVS,BATTER
LUCKNOW SUPER GIANTS,5,AYUSH BADONI,,ALL ROUNDER
LUCKNOW SUPER GIANTS,6,MARCUS STOINIS,OVS,ALL ROUNDER
LUCKNOW SUPER GIANTS,7,DEEPAK HOODA,,BATTER
LUCKNOW SUPER GIANTS,8,KRUNAL PANDYA,,ALL ROUNDER
LUCKNOW SUPER GIANTS,9,MARK WOOD,OVS,BOWLER
LUCKNOW SUPER GIANTS,10,AVESH KHAN,,BOWLER
LUCKNOW SUPER GIANTS,11,RAVI BISHNOI,,BOWLER
LUCKNOW SUPER GIANTS,IMPACT,MOHSIN KHAN,,BOWLER
MUMBAI INDIANS,1,ROHIT SHARMA,,BATTER
MUMBAI INDIANS,2,ISHAN KISHAN,,WICKET KEEPER
MUMBAI INDIANS,3,TILAK VARMA,,ALL ROUNDER
MUMBAI INDIANS,4,SURYAKUMAR YADAV,,BATTER
MUMBAI INDIANS,5,HARDIK PANDYA (c),,ALL ROUNDER
MUMBAI INDIANS,6,TIM DAVID,OVS,BATTER
MUMBAI INDIANS,7,NEHAL WADHERA,,BATTER
MUMBAI INDIANS,8,GERALD COETZEE,OVS,ALL ROUNDER
MUMBAI INDIANS,9,PIYUSH CHAWLA,,BOWLER
MUMBAI INDIANS,10,JASPRIT BUMRAH,,BOWLER
MUMBAI INDIANS,11,JASON BEHRENDORFF,OVS,BOWLER
MUMBAI INDIANS,IMPACT,NUWAN THUSHARA,OVS,BOWLER
PUNJAB KINGS,1,SHIKHAR DHAWAN (c),,BATTER
PUNJAB KINGS,2,PRABHSIMRAN SINGH,,BATTER
PUNJAB KINGS,3,JONNY BAIRSTOW,OVS,BATTER
PUNJAB KINGS,4,LIAM LIVINGSTONE,OVS,ALL ROUNDER
PUNJAB KINGS,5,SAM CURRAN,OVS,ALL ROUNDER
PUNJAB KINGS,6,JITESH SHARMA,,WICKET KEEPER
PUNJAB KINGS,7,SHASHANK SINGH,,BATTER
PUNJAB KINGS,8,HARPREET BRAR,,ALL ROUNDER
PUNJAB KINGS,9,KAGISO RABADA,OVS,BOWLER
PUNJAB KINGS,10,HARSHAL PATEL,,BOWLER
PUNJAB KINGS,11,ARSHDEEP SINGH,,BOWLER
PUNJAB KINGS,IMPACT,RAHUL CHAHAR,,BOWLER
RAJASTHAN ROYALS,1,YASHASVI JAISWAL,,BATTER
RAJASTHAN ROYALS,2,JOS BUTTLER,OVS,WICKET KEEPER
RAJASTHAN ROYALS,3,SANJU SAMSON (c),,BATTER
RAJASTHAN ROYALS,4,RIYAN PARAG,,ALL ROUNDER
RAJASTHAN ROYALS,5,DHRUV JUREL,,BATTER
RAJASTHAN ROYALS,6,SHIMRON HETMYER,OVS,BATTER
RAJASTHAN ROYALS,7,ROVMAN POWELL,OVS,BATTER
RAJASTHAN ROYALS,8,RAVICHANDRAN ASHWIN,,ALL ROUNDER
RAJASTHAN ROYALS,9,TRENT BOULT,OVS,BOWLER
RAJASTHAN ROYALS,10,AVESH KHAN,,BOWLER
RAJASTHAN ROYALS,11,YUZVENDRA CHAHAL,,BOWLER
RAJASTHAN ROYALS,IMPACT,SANDEEP SHARMA,,BOWLER
ROYAL CHALLENGERS BENGALURU,1,FAF du PLESSIS (c),OVS,BATTER
ROYAL CHALLENGERS BENGALURU,2,VIRAT KOHLI,,BATTER
ROYAL CHALLENGERS BENGALURU,3,CAMERON GREEN,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,4,RAJAT PATIDAR ,,BATTER
ROYAL CHALLENGERS BENGALURU,5,GLENN MAXWELL,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,6,ANUJ RAWAT,,BATTER
ROYAL CHALLENGERS BENGALURU,7,DINESH KARTHIK,,WICKET KEEPER
ROYAL CHALLENGERS BENGALURU,8,MAHIPAL LOMROR,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,9,KARN SHARMA,,BOWLER
ROYAL CHALLENGERS BENGALURU,10,ALZARRI JOSEPH,OVS,BOWLER
ROYAL CHALLENGERS BENGALURU,11,MOHAMMED SIRAJ,,BOWLER
ROYAL CHALLENGERS BENGALURU,IMPACT,YASH DAYAL,,BOWLER
SUNRISERS HYDERABAD,1,TRAVIS HEAD,OVS,BATTER
SUNRISERS HYDERABAD,2,ABHISHEK SHARMA,,ALL ROUNDER
SUNRISERS HYDERABAD,3,RAHUL TRIPATHI,,BATTER
SUNRISERS HYDERABAD,4,AIDEN MARKRAM,OVS,BATTER
SUNRISERS HYDERABAD,5,HEINRICH KLAASEN,OVS,WICKET KEEPER
SUNRISERS HYDERABAD,6,ABDUL SAMAD,,BATTER
SUNRISERS HYDERABAD,7,WASHINGTON SUNDAR,,ALL ROUNDER
SUNRISERS HYDERABAD,8,SHAHBAZ AHMED,,ALL ROUNDER
SUNRISERS HYDERABAD,9,PAT CUMMINS (c),OVS,ALL ROUNDER
SUNRISERS HYDERABAD,10,BHUVNESHWAR KUMAR,,BOWLER
SUNRISERS HYDERABAD,11,UMRAN MALIK,,BOWLER
SUNRISERS HYDERABAD,IMPACT,T NATARAJAN,,BOWLER
