Team,Number,Name,Overseas,Role
WASHINGTON FREEDOM,1,MITCHELL OWEN,OVS,BATTER
WASHINGTON FREEDOM,2,RACHIN RAVINDRA,OVS,ALL ROUNDER
WASHINGTON FREEDOM,3,ANDRIES GOUS,,WICKET KEEPER
WASHINGTON FREEDOM,4,GLENN MAXWELL (c),OVS,ALL ROUNDER
WASHINGTON FREEDOM,5,MUKHTAR AHMED,,BATTER
WASHINGTON FREEDOM,6,GLENN PHILLIPS,OVS,BATTER
WASHINGTON FREEDOM,7,OBUS PIENAAR,,ALL ROUNDER
WASHINGTON FREEDOM,8,JUSTIN DILL,,ALL ROUNDER
WASHINGTON FREEDOM,9,MARK ADAIR,OVS,BOWLER
WASHINGTON FREEDOM,10,LOCKIE FERGUSON,OVS,BOWLER
WASHINGTON FREEDOM,11,SAURABH NETRAVALKAR,,BOWLER
SEATTLE ORCAS,1,DAVID WARNER,OVS,BATTER
SEATTLE ORCAS,2,KYLE MAYERS,OVS,ALL ROUNDER
SEATTLE ORCAS,3,SHAYAN JAHANGIR,,BATTER
SEATTLE ORCAS,4,AARON JONES,,BATTER
SEATTLE ORCAS,5,HEINRICH KLAASEN (c),OVS,WICKET KEEPER
SEATTLE ORCAS,6,SHIMRON HETMYER,OVS,BATTER
SEATTLE ORCAS,7,SIKANDAR RAZA,OVS,ALL ROUNDER
SEATTLE ORCAS,8,HARMEET SINGH,,ALL ROUNDER
SEATTLE ORCAS,9,JASDEEP SINGH,,BOWLER
SEATTLE ORCAS,10,FAZALHAQ FAROOQI,OVS,BOWLER
SEATTLE ORCAS,11,CAMERON GANNON,,BOWLER
SAN FRANCISCO UNICORNS,1,FINN ALLEN,OVS,WICKET KEEPER
SAN FRANCISCO UNICORNS,2,JAKE FRASER-McGURK,OVS,BATTER
SAN FRANCISCO UNICORNS,3,TIM SEIFERT,OVS,BATTER
SAN FRANCISCO UNICORNS,4,MATT SHORT,OVS,ALL ROUNDER
SAN FRANCISCO UNICORNS,5,COREY ANDERSON (c),,BATTER
SAN FRANCISCO UNICORNS,6,SANJAY KRISHNAMURTHI,,ALL ROUNDER
SAN FRANCISCO UNICORNS,7,HASSAN KHAN,,ALL ROUNDER
SAN FRANCISCO UNICORNS,8,JUANOY DRYSDALE,,BOWLER
SAN FRANCISCO UNICORNS,9,HARIS RAUF,OVS,BOWLER
SAN FRANCISCO UNICORNS,10,LIAM PLUNKETT,,BOWLER
SAN FRANCISCO UNICORNS,11,XAVIER BARTLETT,OVS,BOWLER
MI NEW YORK,1,MONANK PATEL,,BATTER
MI NEW YORK,2,QUINTON de KOCK,OVS,WICKET KEEPER
MI NEW YORK,3,NICHOLAS POORAN (c),OVS,BATTER
MI NEW YORK,4,KIERON POLLARD,OVS,ALL ROUNDER
MI NEW YORK,5,TAJINDER DHILLON,,BATTER
MI NEW YORK,6,MICHAEL BRACEWELL,OVS,ALL ROUNDER
MI NEW YORK,7,SUNNY PATEL,,ALL ROUNDER
MI NEW YORK,8,TRENT BOULT,OVS,BOWLER
MI NEW YORK,9,EHSAN ADIL,,BOWLER
MI NEW YORK,10,NOSTHUSH KENJIGE,,BOWLER
MI NEW YORK,11,NAVEEN UL HAQ,OVS,BOWLER
LOS ANGELES KNIGHT RIDERS,1,ALEX HALES,OVS,BATTER
LOS ANGELES KNIGHT RIDERS,2,UNMUKT CHAND,,WICKET KEEPER
LOS ANGELES KNIGHT RIDERS,3,NITISH KUMAR,,BATTER
LOS ANGELES KNIGHT RIDERS,4,SAIF BADAR,,BATTER
LOS ANGELES KNIGHT RIDERS,5,ROVMAN POWELL,OVS,BATTER
LOS ANGELES KNIGHT RIDERS,6,ANDRE RUSSELL,OVS,ALL ROUNDER
LOS ANGELES KNIGHT RIDERS,7,SUNIL NARINE,OVS,ALL ROUNDER
LOS ANGELES KNIGHT RIDERS,8,JASON HOLDER (c),OVS,ALL ROUNDER
LOS ANGELES KNIGHT RIDERS,9,CORNE DRY,,BOWLER
LOS ANGELES KNIGHT RIDERS,10,ALI KHAN,,BOWLER
LOS ANGELES KNIGHT RIDERS,11,SPENCER JOHNSON,OVS,BOWLER
TEXAS SUPER KINGS,1,FAF du PLESSIS (c),OVS,BATTER
TEXAS SUPER KINGS,2,DEVON CONWAY,OVS,BATTER
TEXAS SUPER KINGS,3,SMIT PATEL,,WICKET KEEPER
TEXAS SUPER KINGS,4,SAITEJA MUKKAMALLA,,BATTER
TEXAS SUPER KINGS,5,MARCUS STOINIS,OVS,ALL ROUNDER
TEXAS SUPER KINGS,6,SHUBHAM RANJANE,,BATTER
TEXAS SUPER KINGS,7,CALVIN SAVAGE,,ALL ROUNDER
TEXAS SUPER KINGS,8,AKEAL HOSEIN,OVS,ALL ROUNDER
TEXAS SUPER KINGS,9,ZIA UL HAQ,,BOWLER
TEXAS SUPER KINGS,10,NOOR AHMAD,OVS,BOWLER
TEXAS SUPER KINGS,11,NANDRE BURGER,OVS,BOWLER
