Team,Number,Name,Overseas,Role
SUNRISERS EASTERN CAPE,1,QUINTON de KOCK,,WICKET KEEPER
SUNRISERS EASTERN CAPE,2,JORDAN HERMANN,,BATTER
SUNRISERS EASTERN CAPE,3,JONNY BAIRSTOW,OVS,BATTER
SUNRISERS EASTERN CAPE,4,MATTHEW BREETZKE,,BATTER
SUNRISERS EASTERN CAPE,5,TRISTAN STUBBS (c),,BATTER
SUNRISERS EASTERN CAPE,6,MARCO JANSEN,,ALL ROUNDER
SUNRISERS EASTERN CAPE,7,LEWIS GREGORY,OVS,ALL ROUNDER
SUNRISERS EASTERN CAPE,8,SENURAN MUTHUSAMY,,ALL ROUNDER
SUNRISERS EASTERN CAPE,9,ANRICH NORTJE,,BOWLER
SUNRISERS EASTERN CAPE,10,ALLAH GHAZANFAR,OVS,BOWLER
SUNRISERS EASTERN CAPE,11,ADAM MILNE,OVS,BOWLER
PRETORIA CAPITALS,1,BRYCE PARSONS,,ALL ROUNDER
PRETORIA CAPITALS,2,WILL JACKS,OVS,ALL ROUNDER
PRETORIA CAPITALS,3,WIHAN LUBBE,,BATTER
PRETORIA CAPITALS,4,CONNOR ESTERHUIZEN,,WICKET KEEPER
PRETORIA CAPITALS,5,DEWALD BREVIS,,BATTER
PRETORIA CAPITALS,6,SHERFANE RUTHERFORD,OVS,BATTER
PRETORIA CAPITALS,7,ANDRE RUSSELL,OVS,ALL ROUNDER
PRETORIA CAPITALS,8,CRAIG OVERTON,OVS,BOWLER
PRETORIA CAPITALS,9,KESHAV MAHARAJ (c),,BOWLER
PRETORIA CAPITALS,10,LUNGI NGIDI,,BOWLER
PRETORIA CAPITALS,11,LIZAAD WILLIAMS,,BOWLER
PAARL ROYALS,1,LHUAN-DRE PRETORIUS,,BATTER
PAARL ROYALS,2,RUBIN HERMANN,,BATTER
PAARL ROYALS,3,KYLE VERREYNNE,,WICKET KEEPER
PAARL ROYALS,4,DANIEL LAWRENCE,OVS,BATTER
PAARL ROYALS,5,DAVID MILLER (c),,BATTER
PAARL ROYALS,6,SIKANDAR RAZA,OVS,ALL ROUNDER
PAARL ROYALS,7,DELANO POTGIETER,,ALL ROUNDER
PAARL ROYALS,8,OTTNEIL BAARTMAN,,BOWLER
PAARL ROYALS,9,HARDUS VILJOEN,,BOWLER
PAARL ROYALS,10,ESHAN MALINGA,OVS,BOWLER
PAARL ROYALS,11,MUJEEB UR RAHMAN,OVS,BOWLER
DURBAN SUPER GIANTS,1,DEVON CONWAY,OVS,BATTER
DURBAN SUPER GIANTS,2,JOS BUTTLER,OVS,BATTER
DURBAN SUPER GIANTS,3,AIDEN MARKRAM (c),,BATTER
DURBAN SUPER GIANTS,4,HEINRICH KLAASEN,,WICKET KEEPER
DURBAN SUPER GIANTS,5,DAVID BEDINGHAM,,BATTER
DURBAN SUPER GIANTS,6,DAVID WIESE,,ALL ROUNDER
DURBAN SUPER GIANTS,7,EATHAN BOSCH,,ALL ROUNDER
DURBAN SUPER GIANTS,8,SUNIL NARINE,OVS,ALL ROUNDER
DURBAN SUPER GIANTS,9,GERALD COETZEE,,BOWLER
DURBAN SUPER GIANTS,10,KWENA MAPHAKA,,BOWLER
DURBAN SUPER GIANTS,11,NOOR AHMAD,OVS,BOWLER
MI CAPE TOWN,1,REEZA HENDRICKS,,BATTER
MI CAPE TOWN,2,RYAN RICKELTON,,BATTER
MI CAPE TOWN,3,RASSIE van der DUSSEN,,BATTER
MI CAPE TOWN,4,NICHOLAS POORAN,OVS,WICKET KEEPER
MI CAPE TOWN,5,TOM MOORES,OVS,BATTER
MI CAPE TOWN,6,GEORGE LINDE,,ALL ROUNDER
MI CAPE TOWN,7,DWAINE PRETORIUS,,ALL ROUNDER
MI CAPE TOWN,8,RASHID KHAN (c),OVS,ALL ROUNDER
MI CAPE TOWN,9,KAGISO RABADA,,BOWLER
MI CAPE TOWN,10,TRENT BOULT,OVS,BOWLER
MI CAPE TOWN,11,TABRAIZ SHAMSI,,BOWLER
JOBURG SUPER KINGS,1,FAF du PLESSIS (c),,BATTER
JOBURG SUPER KINGS,2,BRANDON KING,OVS,BATTER
JOBURG SUPER KINGS,3,JAMES VINCE,OVS,BATTER
JOBURG SUPER KINGS,4,RILEE ROSSOUW,,BATTER
JOBURG SUPER KINGS,5,STEVE STOLK,,ALL ROUNDER
JOBURG SUPER KINGS,6,DONOVAN FERREIRA,,WICKET KEEPER
JOBURG SUPER KINGS,7,WIAAN MULDER,,ALL ROUNDER
JOBURG SUPER KINGS,8,AKEAL HOSEIN,OVS,ALL ROUNDER
JOBURG SUPER KINGS,9,NANDRE BURGER,,BOWLER
JOBURG SUPER KINGS,10,REECE TOPLEY,OVS,BOWLER
JOBURG SUPER KINGS,11,IMRAN TAHIR,,BOWLER
